anio,mes,categoria,revenue_total
2023,6,SPORTS,41321.67
2024,2,BEAUTY,27815.78
2024,1,TOYS,25080.44
2023,7,BEAUTY,18752.59
2023,6,HOME & KITCHEN,17524.13
2023,5,BOOKS,14577.79
2023,11,HOME & KITCHEN,14427.24
2024,3,HOME & KITCHEN,14235.07
2024,5,TOYS,13967.41
2023,7,CLOTHING,12411.16
2023,9,TOYS,12404.88
2023,6,BEAUTY,12154.73
2023,3,BEAUTY,12086.19
2023,6,ELECTRONICS,11995.28
2023,11,BOOKS,11466.34
2023,6,CLOTHING,11331.07
2024,4,CLOTHING,10373.4
2024,3,BOOKS,10366.47
2023,8,TOYS,10290.78
2024,6,SPORTS,10073.32
2024,3,CLOTHING,9861.01
2023,8,BEAUTY,9693.1
2024,1,SPORTS,9613.02
2024,4,HOME & KITCHEN,8897.64
2023,6,TOYS,8229.67
2024,4,BEAUTY,8113.0
2023,3,HOME & KITCHEN,7914.5
2024,5,ELECTRONICS,7614.6
2024,1,BOOKS,7535.31
2024,2,TOYS,7501.14
2024,5,CLOTHING,7490.54
2023,2,HOME & KITCHEN,7275.0
2023,1,SPORTS,6615.21
2023,2,BEAUTY,6591.69
2024,4,TOYS,6425.92
2023,8,HOME & KITCHEN,6353.71
2023,4,HOME & KITCHEN,6251.48
2023,1,BOOKS,6071.26
2024,6,BEAUTY,5746.2
2023,12,SPORTS,5572.15
2023,5,SPORTS,5518.44
2024,6,HOME & KITCHEN,4979.08
2023,3,TOYS,4829.36
2023,5,BEAUTY,4678.14
2023,11,ELECTRONICS,4654.36
2024,2,CLOTHING,4380.7
2024,2,SPORTS,4292.46
2023,3,ELECTRONICS,4197.1
2023,4,CLOTHING,3970.93
2023,1,TOYS,3852.11
2023,7,ELECTRONICS,3782.81
2023,10,CLOTHING,3604.64
2024,2,ELECTRONICS,3429.36
2024,3,ELECTRONICS,3378.88
2024,6,BOOKS,3375.8
2024,5,SPORTS,3143.25
2023,8,SPORTS,2886.53
2024,5,BEAUTY,2817.72
2024,3,SPORTS,2751.45
2023,4,BOOKS,2413.33
2023,9,SPORTS,2210.6
2023,7,SPORTS,2016.93
2023,11,TOYS,1883.41
2023,9,CLOTHING,1814.9
2023,8,CLOTHING,1658.54
2024,1,HOME & KITCHEN,1612.4
2024,5,BOOKS,1548.3
2023,12,HOME & KITCHEN,1489.02
2023,2,CLOTHING,1386.47
2024,1,CLOTHING,1312.4
2023,11,BEAUTY,1282.82
2023,3,SPORTS,1268.55
2023,8,BOOKS,1254.56
2024,5,HOME & KITCHEN,1211.36
2023,2,ELECTRONICS,1208.36
2023,1,ELECTRONICS,1207.02
2023,1,HOME & KITCHEN,1189.21
2023,7,BOOKS,1122.1
2023,5,CLOTHING,1023.81
2023,10,ELECTRONICS,1019.26
2023,9,BOOKS,982.64
2023,11,SPORTS,964.65
2023,2,BOOKS,654.84
2024,6,ELECTRONICS,633.6
2023,12,TOYS,469.94
2023,10,HOME & KITCHEN,456.95
2023,3,BOOKS,149.26
2024,4,ELECTRONICS,127.34
2023,9,BEAUTY,114.01
